date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:29	34201/34201	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:26%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index6392.html	(from )
13:53:30	1003/1003	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2007:19:46%20GMT	https://p.w3layouts.com/robots.txt		(from )
13:53:30	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2018%20Apr%202024%2008:23:28%20GMT	http://m.servedby-buysellads.com/monetization.js	D:/genoviq/newdaynight/m.servedby-buysellads.com/monetization.2.delayed	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:30	297372/297372	---MCZ	200	added ('OK')	text/css	date:Mon,%2030%20Mar%202020%2005:32:23%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/css/style-liberty.css	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/assets/css/style-liberty.css	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:31	76292/76292	---MCZ	200	added ('OK')	application/javascript	etag:W/%226f645825fed21deb08b77e9954705f1e%22	https://m.servedby-buysellads.com/monetization.js	D:/genoviq/newdaynight/m.servedby-buysellads.com/monetization.js	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:31	31000/31000	---MCZ	200	added ('OK')	text/css	date:Wed,%2020%20Jan%202021%2016:54:58%20GMT	https://p.w3layouts.com/assests/css/font-awesome.min.css	D:/genoviq/newdaynight/p.w3layouts.com/assests/css/font-awesome.min.css	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:32	34201/34201	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:29%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:32	32840/32840	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:30%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/about.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/about.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:33	28863/28863	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:30%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/services.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/services.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
13:53:33	28150/28150	---MCZ	200	added ('OK')	text/html	date:Thu,%2018%20Apr%202024%2008:23:31%20GMT	https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog.html	D:/genoviq/newdaynight/p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/blog.html	(from https://p.w3layouts.com/demos_new/template_demo/30-03-2020/pizzapan-liberty-demo_Free/1781439321/web/index.html?_gl=1*ol9f1z*_ga*MTg3ODMwMjg0OC4xNzEzNDI3NzM2*_ga_9HSZ46TKMQ*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI5MS40Ni4wLjA.*_ga_EGV5GTJEP5*MTcxMzQyNzczNi4xLjEuMTcxMzQyODI4Ny4wLjAuMA..*_ga_FFZF56TTWE*MTcxMzQyNzc0MC4xLjEuMTcxMzQyODI4OC4wLjAuMA..&_ga=2.138679731.1697665639.1713427741-1878302848.1713427736)
